period,org_code,parent_org,org_name,aande_attendances_type_1,aande_attendances_type_2,aande_attendances_other_aande_department,aande_attendances_booked_appointments_type_1,aande_attendances_booked_appointments_type_2,aande_attendances_booked_appointments_other_department,attendances_over_4hrs_type_1,attendances_over_4hrs_type_2,attendances_over_4hrs_other_department,attendances_over_4hrs_booked_appointments_type_1,attendances_over_4hrs_booked_appointments_type_2,attendances_over_4hrs_booked_appointments_other_department,patients_who_have_waited_4_12_hs_from_dta_to_admission,patients_who_have_waited_12plus_hrs_from_dta_to_admission,emergency_admissions_via_aande___type_1,emergency_admissions_via_aande___type_2,emergency_admissions_via_aande___other_aande_department,other_emergency_admissions,total_attendances,total_booked_attendances,total_over_4hrs,total_booked_over_4hrs,total_dta_waits,total_emergency_admissions,over_4hr_rate,booked_over_4hr_rate,admission_rate
2026-02-01,RJC,NHS ENGLAND MIDLANDS ,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,7533,0,328,2,0,0,2135,0,0,0,0,0,508,87,1636,0,0,633,7861,2,2135,0,595,2269,0.2715939447907391,0.0,0.28864012212186746
2026-02-01,RJE,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,13322,440,7425,611,0,491,7432,0,74,339,0,11,1095,927,4405,0,0,1001,21187,1102,7506,350,2022,5406,0.3542738471704347,0.3176043557168784,0.25515646386935387
2026-02-01,RJL,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,9527,0,5753,0,0,395,4382,0,40,0,0,2,576,874,5136,0,0,369,15280,395,4422,2,1450,5505,0.2893979057591623,0.005063291139240506,0.36027486910994766
2026-02-01,RLT,NHS ENGLAND MIDLANDS ,GEORGE ELIOT HOSPITAL NHS TRUST,6469,0,1502,0,0,0,1578,0,3,0,0,0,378,269,1115,0,0,0,7971,0,1581,0,647,1115,0.19834399698908545,0.0,0.1398820725128591
2026-02-01,RP5,NHS ENGLAND NORTH EAST AND YORKSHIRE ,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,12523,0,3554,0,0,0,4722,0,5,0,0,0,1169,202,3663,0,388,1016,16077,0,4727,0,1371,5067,0.29402251663867635,0.0,0.3151707408098526
2026-02-01,RTK,NHS ENGLAND SOUTH EAST ,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,6942,0,2493,0,0,0,3607,0,36,0,0,0,446,452,2844,0,0,506,9435,0,3643,0,898,3350,0.3861155272919979,0.0,0.35506094329623744
2026-02-01,RTP,NHS ENGLAND SOUTH EAST ,SURREY AND SUSSEX HEALTHCARE NHS TRUST,9234,0,0,0,0,0,4051,0,0,0,0,0,485,593,2673,0,0,841,9234,0,4051,0,1078,3514,0.43870478665800305,0.0,0.3805501407840589
2026-02-01,RTQ,NHS ENGLAND SOUTH WEST ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,0,0,7085,0,0,0,0,0,103,0,0,0,0,0,0,0,0,20,7085,0,103,0,0,20,0.014537755822159493,0.0,0.0028228652081863093
2026-02-01,RWF,NHS ENGLAND SOUTH EAST ,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,16798,0,1822,804,0,218,4094,0,26,146,0,4,933,373,2226,0,0,697,18620,1022,4120,150,1306,2923,0.22126745435016112,0.14677103718199608,0.15698174006444682
2026-02-01,RXP,NHS ENGLAND NORTH EAST AND YORKSHIRE ,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,11451,0,3338,0,0,6427,4871,0,0,0,0,0,1808,18,4119,0,0,736,14789,6427,4871,0,1826,4855,0.3293664209885726,0.0,0.3282845358036378
